iter	Passed	Remaining
0	164	164688
1	165	82641
2	166	55286
3	167	41608
4	167	33368
5	168	27863
6	168	23961
7	169	21032
8	170	18746
9	170	16907
10	171	15398
11	171	14160
12	172	13114
13	173	12202
14	173	11423
15	174	10738
16	175	10140
17	176	9601
18	176	9115
19	177	8677
20	177	8285
21	178	7923
22	178	7599
23	179	7297
24	180	7024
25	180	6768
26	181	6539
27	182	6320
28	182	6120
29	183	5931
30	183	5751
31	184	5585
32	185	5426
33	186	5284
34	186	5143
35	187	5010
36	187	4885
37	188	4767
38	189	4659
39	189	4554
40	190	4451
41	190	4354
42	191	4262
43	192	4175
44	192	4090
45	193	4008
46	193	3929
47	194	3855
48	195	3784
49	195	3715
50	196	3650
51	196	3588
52	197	3526
53	197	3467
54	198	3409
55	199	3356
56	199	3302
57	200	3253
58	200	3205
59	201	3156
60	201	3109
61	202	3065
62	203	3024
63	203	2983
64	204	2943
65	205	2905
66	205	2866
67	206	2830
68	207	2793
69	207	2759
70	208	2724
71	208	2691
72	209	2659
73	210	2627
74	210	2597
75	211	2566
76	211	2538
77	212	2510
78	212	2482
79	213	2455
80	214	2428
81	214	2404
82	215	2376
83	215	2353
84	216	2328
85	216	2304
86	217	2281
87	218	2261
88	218	2239
89	219	2218
90	220	2199
91	220	2178
92	221	2159
93	221	2139
94	222	2120
95	223	2100
96	223	2081
97	224	2062
98	224	2046
99	225	2029
100	226	2012
101	226	1994
102	227	1979
103	227	1962
104	228	1946
105	228	1930
106	229	1915
107	230	1900
108	230	1885
109	231	1871
110	231	1856
111	232	1842
112	233	1829
113	233	1815
114	234	1802
115	234	1788
116	235	1775
117	235	1762
118	236	1749
119	236	1736
120	237	1725
121	237	1712
122	238	1700
123	239	1689
124	239	1678
125	240	1667
126	240	1655
127	241	1643
128	241	1633
129	242	1622
130	242	1611
131	243	1601
132	244	1591
133	244	1581
134	245	1571
135	245	1562
136	246	1552
137	246	1542
138	247	1534
139	248	1525
140	248	1516
141	249	1506
142	249	1497
143	250	1488
144	250	1479
145	251	1471
146	252	1462
147	252	1453
148	253	1445
149	253	1437
150	254	1429
151	254	1421
152	255	1413
153	255	1405
154	256	1398
155	257	1391
156	257	1384
157	258	1376
158	258	1369
159	259	1362
160	259	1354
161	260	1347
162	260	1339
163	261	1332
164	262	1326
165	262	1319
166	263	1313
167	263	1306
168	264	1300
169	265	1293
170	265	1287
171	266	1281
172	266	1275
173	267	1268
174	267	1262
175	268	1256
176	268	1250
177	269	1244
178	270	1238
179	270	1233
180	271	1227
181	271	1221
182	272	1216
183	272	1210
184	273	1205
185	274	1199
186	274	1194
187	275	1188
188	275	1183
189	276	1178
190	277	1173
191	277	1168
192	278	1163
193	278	1158
194	279	1153
195	280	1149
196	280	1143
197	281	1139
198	281	1133
199	282	1128
200	282	1124
201	283	1119
202	283	1114
203	284	1110
204	285	1105
205	285	1101
206	286	1096
207	286	1091
208	287	1087
209	287	1082
210	288	1078
211	288	1074
212	289	1069
213	290	1065
214	290	1061
215	291	1056
216	291	1053
217	292	1048
218	293	1045
219	293	1041
220	294	1037
221	294	1033
222	295	1029
223	296	1025
224	296	1021
225	297	1017
226	297	1013
227	298	1010
228	298	1006
229	299	1002
230	299	998
231	300	995
232	301	992
233	301	988
234	302	984
235	303	981
236	303	977
237	304	974
238	304	970
239	305	967
240	305	963
241	306	959
242	306	956
243	307	953
244	308	949
245	308	946
246	309	942
247	309	939
248	310	935
249	310	932
250	311	929
251	311	925
252	312	922
253	313	919
254	313	916
255	314	913
256	314	909
257	315	906
258	315	903
259	316	900
260	317	897
261	317	894
262	318	891
263	318	888
264	319	885
265	319	882
266	320	879
267	320	876
268	321	873
269	322	871
270	322	868
271	323	865
272	323	862
273	324	859
274	324	856
275	325	853
276	326	851
277	326	848
278	327	845
279	327	843
280	328	840
281	329	837
282	329	835
283	330	832
284	330	829
285	331	826
286	331	823
287	332	821
288	332	818
289	333	816
290	333	813
291	334	810
292	334	808
293	335	805
294	336	803
295	336	800
296	337	798
297	337	795
298	338	793
299	338	790
300	339	788
301	340	786
302	340	783
303	341	781
304	341	778
305	342	776
306	342	774
307	343	771
308	344	769
309	344	767
310	345	765
311	345	762
312	346	760
313	347	758
314	347	755
315	348	753
316	348	751
317	349	748
318	349	746
319	350	744
320	350	741
321	351	739
322	351	737
323	352	735
324	353	733
325	353	731
326	354	729
327	354	726
328	355	724
329	356	722
330	356	720
331	357	718
332	357	716
333	358	714
334	358	712
335	359	710
336	360	708
337	360	706
338	361	704
339	361	702
340	362	699
341	362	697
342	363	695
343	363	693
344	364	691
345	365	689
346	365	687
347	366	685
348	366	683
349	367	681
350	367	680
351	368	678
352	368	676
353	369	674
354	370	672
355	370	670
356	371	668
357	371	666
358	372	664
359	372	662
360	373	661
361	374	659
362	374	657
363	375	655
364	375	653
365	376	651
366	376	650
367	377	648
368	378	646
369	378	644
370	379	643
371	379	641
372	380	639
373	380	637
374	381	635
375	382	634
376	382	632
377	383	630
378	383	629
379	384	627
380	384	625
381	385	623
382	385	621
383	386	620
384	387	618
385	387	616
386	388	614
387	388	613
388	389	611
389	389	609
390	390	608
391	390	606
392	391	604
393	392	603
394	392	601
395	393	599
396	393	597
397	394	596
398	394	594
399	395	593
400	396	591
401	396	590
402	397	588
403	397	587
404	398	585
405	399	583
406	399	582
407	400	580
408	400	579
409	401	577
410	401	575
411	402	574
412	403	572
413	403	571
414	404	569
415	404	568
416	405	566
417	405	564
418	406	563
419	406	561
420	407	560
421	408	558
422	408	557
423	409	555
424	409	554
425	410	552
426	410	551
427	411	549
428	411	548
429	412	546
430	412	545
431	413	543
432	414	542
433	414	540
434	415	539
435	415	537
436	416	536
437	417	535
438	417	533
439	418	532
440	418	530
441	419	529
442	419	527
443	420	526
444	421	525
445	421	523
446	422	522
447	422	520
448	423	519
449	424	518
450	424	516
451	425	515
452	425	514
453	426	512
454	427	511
455	427	510
456	428	508
457	428	507
458	429	506
459	430	504
460	430	503
461	431	502
462	431	500
463	432	499
464	432	497
465	433	496
466	433	495
467	434	493
468	435	492
469	435	491
470	436	489
471	436	488
472	437	487
473	437	485
474	438	484
475	438	483
476	439	481
477	440	480
478	440	479
479	441	478
480	441	476
481	442	475
482	442	474
483	443	472
484	444	471
485	444	470
486	445	469
487	445	467
488	446	466
489	446	465
490	447	463
491	448	462
492	448	461
493	449	460
494	449	458
495	450	457
496	450	456
497	451	454
498	451	453
499	452	452
500	452	450
501	453	449
502	453	448
503	454	447
504	454	445
505	455	444
506	456	443
507	456	442
508	457	441
509	457	439
510	458	438
511	458	437
512	459	436
513	459	434
514	460	433
515	460	432
516	461	431
517	462	429
518	462	428
519	463	427
520	463	426
521	464	425
522	464	423
523	465	422
524	465	421
525	466	420
526	467	419
527	467	417
528	468	416
529	468	415
530	469	414
531	470	413
532	470	412
533	471	411
534	472	410
535	472	409
536	473	407
537	473	406
538	474	405
539	474	404
540	475	403
541	475	402
542	476	401
543	477	399
544	477	398
